date,S1,S2,S3
2024-10-21A,1,1,1
2024-10-21C,1,1,1
2024-10-22A,1,1,1
2024-10-22C,1,1,1
2024-10-23A,1,1,1
2024-10-23C,1,1,1
2024-10-24A,1,1,1
2024-10-24C,1,1,1
2024-10-25A,1,1,1
2024-10-25C,1,1,0
2024-10-28A,1,1,0
2024-10-28C,1,1,0
2024-10-29A,1,1,0
2024-10-29C,1,1,0
2024-10-30A,1,1,0
2024-10-30C,1,1,0
2024-10-31A,1,1,0
2024-10-31C,1,1,0
2024-11-01A,1,1,0
2024-11-01C,1,1,0
2024-11-04A,1,1,0
2024-11-04C,1,1,0
2024-11-05A,1,1,0
2024-11-05C,1,1,1
2024-11-06A,1,1,1
2024-11-06C,1,1,1
2024-11-07A,1,1,1
2024-11-07C,1,1,1
2024-11-08A,1,1,1
2024-11-08C,1,1,1
2024-11-11A,1,1,1
2024-11-11C,1,1,1
2024-11-12A,1,1,1
2024-11-12C,1,1,1
2024-11-13A,1,1,1
2024-11-13C,1,1,1
2024-11-14A,1,1,1
2024-11-14C,1,1,1
2024-11-15A,1,1,1
2024-11-15C,1,1,1
2024-11-18A,1,1,1
2024-11-18C,1,1,1
2024-11-19A,1,1,1
2024-11-19C,1,1,0
2024-11-20A,1,1,0
2024-11-20C,1,1,0
2024-11-21A,1,1,0
2024-11-21C,1,1,0
2024-11-22A,1,1,0
2024-11-22C,1,1,1
2024-11-25A,1,1,1
2024-11-25C,1,1,1
2024-11-26A,1,1,1
2024-11-26C,1,1,1
2024-11-27A,1,1,1
2024-11-27C,1,1,1
2024-11-29A,1,1,1
2024-11-29C,1,1,1
2024-12-02A,1,1,1
2024-12-02C,1,1,1
2024-12-03A,1,1,1
2024-12-03C,1,1,1
2024-12-04A,1,1,1
2024-12-04C,1,1,1
2024-12-05A,1,1,1
2024-12-05C,1,1,1
2024-12-06A,1,1,1
2024-12-06C,1,1,1
2024-12-09A,1,1,1
2024-12-09C,1,1,0
2024-12-10A,1,1,0
2024-12-10C,1,1,0
2024-12-11A,1,1,0
2024-12-11C,1,1,1
2024-12-12A,1,1,1
2024-12-12C,1,1,0
2024-12-13A,1,1,0
2024-12-13C,1,1,0
2024-12-16A,1,1,0
2024-12-16C,1,1,0
2024-12-17A,1,1,0
2024-12-17C,1,1,0
2024-12-18A,1,1,0
2024-12-18C,1,1,0
2024-12-19A,1,1,0
2024-12-19C,1,1,0
2024-12-20A,1,1,0
2024-12-20C,1,1,0
2024-12-23A,1,1,0
2024-12-23C,1,1,1
2024-12-24A,1,1,1
2024-12-24C,1,1,1
2024-12-26A,1,1,1
2024-12-26C,1,1,1
2024-12-27A,1,1,1
2024-12-27C,1,1,1
2024-12-30A,1,1,1
2024-12-30C,1,0,0
2024-12-31A,1,0,0
2024-12-31C,0,0,0
2025-01-02A,0,0,0
2025-01-02C,0,0,0
2025-01-03A,0,0,0
2025-01-03C,0,0,0
2025-01-06A,0,0,0
2025-01-06C,1,0,0
2025-01-07A,1,0,0
2025-01-07C,0,0,0
2025-01-08A,0,0,0
2025-01-08C,0,0,0
2025-01-10A,0,0,0
2025-01-10C,0,0,0
2025-01-13A,0,0,0
2025-01-13C,0,0,0
2025-01-14A,0,0,0
2025-01-14C,0,0,0
2025-01-15A,0,0,0
2025-01-15C,0,0,0
2025-01-16A,0,0,0
2025-01-16C,0,0,0
2025-01-17A,0,0,0
2025-01-17C,1,0,0
2025-01-21A,1,0,0
2025-01-21C,1,1,1
2025-01-22A,1,1,1
2025-01-22C,1,1,1
2025-01-23A,1,1,1
2025-01-23C,1,1,1
2025-01-24A,1,1,1
2025-01-24C,1,1,1
2025-01-27A,1,1,1
2025-01-27C,1,1,0
2025-01-28A,1,1,0
2025-01-28C,1,1,0
2025-01-29A,1,1,0
2025-01-29C,1,1,0
2025-01-30A,1,1,0
2025-01-30C,1,1,1
2025-01-31A,1,1,1
2025-01-31C,1,1,0
2025-02-03A,1,1,0
2025-02-03C,1,1,0
2025-02-04A,1,1,0
2025-02-04C,1,1,0
2025-02-05A,1,1,0
2025-02-05C,1,1,1
2025-02-06A,1,1,1
2025-02-06C,1,1,1
2025-02-07A,1,1,1
2025-02-07C,1,1,1
2025-02-10A,1,1,1
2025-02-10C,1,1,1
2025-02-11A,1,1,1
2025-02-11C,1,1,1
2025-02-12A,1,1,1
2025-02-12C,1,1,1
2025-02-13A,1,1,1
2025-02-13C,1,1,1
2025-02-14A,1,1,1
2025-02-14C,1,1,1
2025-02-18A,1,1,1
2025-02-18C,1,1,1
2025-02-19A,1,1,1
2025-02-19C,1,1,1
2025-02-20A,1,1,1
2025-02-20C,1,1,0
2025-02-21A,1,1,0
2025-02-21C,1,1,0
2025-02-24A,1,1,0
2025-02-24C,1,1,0
2025-02-25A,1,1,0
2025-02-25C,1,1,0
2025-02-26A,1,1,0
2025-02-26C,1,1,0
2025-02-27A,1,1,0
2025-02-27C,0,0,0
2025-02-28A,0,0,0
2025-02-28C,0,0,0
2025-03-03A,0,0,0
2025-03-03C,0,0,0
2025-03-04A,0,0,0
2025-03-04C,0,0,0
2025-03-05A,0,0,0
2025-03-05C,0,0,0
2025-03-06A,0,0,0
2025-03-06C,0,0,0
2025-03-07A,0,0,0
2025-03-07C,0,0,0
2025-03-10A,0,0,0
2025-03-10C,0,0,0
2025-03-11A,0,0,0
2025-03-11C,0,0,0
2025-03-12A,0,0,0
2025-03-12C,0,0,0
2025-03-13A,0,0,0
2025-03-13C,0,0,0
2025-03-14A,0,0,0
2025-03-14C,0,0,0
2025-03-17A,0,0,0
2025-03-17C,0,0,0
2025-03-18A,0,0,0
2025-03-18C,0,0,0
2025-03-19A,0,0,0
2025-03-19C,0,0,0
2025-03-20A,0,0,0
2025-03-20C,0,0,0
2025-03-21A,0,0,0
2025-03-21C,0,0,0
2025-03-24A,0,0,0
2025-03-24C,0,0,0
2025-03-25A,0,0,0
2025-03-25C,1,0,0
2025-03-26A,1,0,0
2025-03-26C,0,0,0
2025-03-27A,0,0,0
2025-03-27C,0,0,0
2025-03-28A,0,0,0
2025-03-28C,0,0,0
2025-03-31A,0,0,0
2025-03-31C,0,0,0
2025-04-01A,0,0,0
2025-04-01C,0,0,0
2025-04-02A,0,0,0
2025-04-02C,0,0,0
2025-04-03A,0,0,0
2025-04-03C,0,0,0
2025-04-04A,0,0,0
2025-04-04C,0,0,0
2025-04-07A,0,0,0
2025-04-07C,0,0,0
2025-04-08A,0,0,0
2025-04-08C,0,0,0
2025-04-09A,0,0,0
2025-04-09C,0,0,0
2025-04-10A,0,0,0
2025-04-10C,0,0,0
2025-04-11A,0,0,0
2025-04-11C,0,0,0
2025-04-14A,0,0,0
2025-04-14C,0,0,0
2025-04-15A,0,0,0
2025-04-15C,0,0,0
2025-04-16A,0,0,0
2025-04-16C,0,0,0
2025-04-17A,0,0,0
2025-04-17C,0,0,0
2025-04-21A,0,0,0
2025-04-21C,0,0,0
2025-04-22A,0,0,0
2025-04-22C,0,0,0
2025-04-23A,0,0,0
2025-04-23C,0,0,0
2025-04-24A,0,0,0
2025-04-24C,1,1,1
2025-04-25A,1,1,1
2025-04-25C,1,1,1
2025-04-28A,1,1,1
2025-04-28C,1,1,1
2025-04-29A,1,1,1
2025-04-29C,1,1,1
2025-04-30A,1,1,1
2025-04-30C,1,1,1
2025-05-01A,1,1,1
2025-05-01C,1,1,1
2025-05-02A,1,1,1
2025-05-02C,1,1,1
2025-05-05A,1,1,1
2025-05-05C,1,1,1
2025-05-06A,1,1,1
2025-05-06C,1,1,1
2025-05-07A,1,1,1
2025-05-07C,1,1,1
2025-05-08A,1,1,1
2025-05-08C,1,1,1
2025-05-09A,1,1,1
2025-05-09C,1,1,1
2025-05-12A,1,1,1
2025-05-12C,1,1,1
2025-05-13A,1,1,1
2025-05-13C,1,1,1
2025-05-14A,1,1,1
2025-05-14C,1,1,1
2025-05-15A,1,1,1
2025-05-15C,1,1,1
2025-05-16A,1,1,1
2025-05-16C,1,1,1
2025-05-19A,1,1,1
2025-05-19C,1,1,1
2025-05-20A,1,1,1
2025-05-20C,1,1,1
2025-05-21A,1,1,1
2025-05-21C,1,1,0
2025-05-22A,1,1,0
2025-05-22C,1,1,0
2025-05-23A,1,1,0
2025-05-23C,1,1,0
2025-05-27A,1,1,0
2025-05-27C,1,1,1
2025-05-28A,1,1,1
2025-05-28C,1,1,0
2025-05-29A,1,1,0
2025-05-29C,1,1,1
2025-05-30A,1,1,1
2025-05-30C,1,1,1
2025-06-02A,1,1,1
2025-06-02C,1,1,1
2025-06-03A,1,1,1
2025-06-03C,1,1,1
2025-06-04A,1,1,1
2025-06-04C,1,1,1
2025-06-05A,1,1,1
2025-06-05C,1,1,1
2025-06-06A,1,1,1
2025-06-06C,1,1,1
2025-06-09A,1,1,1
2025-06-09C,1,1,1
2025-06-10A,1,1,1
2025-06-10C,1,1,1
2025-06-11A,1,1,1
2025-06-11C,1,1,1
2025-06-12A,1,1,1
2025-06-12C,1,1,0
2025-06-13A,1,1,0
2025-06-13C,1,1,0
2025-06-16A,1,1,0
2025-06-16C,1,1,0
2025-06-17A,1,1,0
2025-06-17C,1,1,0
2025-06-18A,1,1,0
2025-06-18C,1,1,0
2025-06-20A,1,1,0
2025-06-20C,1,1,0
2025-06-23A,1,1,0
2025-06-23C,1,1,0
2025-06-24A,1,1,0
2025-06-24C,1,1,1
2025-06-25A,1,1,1
2025-06-25C,1,1,1
2025-06-26A,1,1,1
2025-06-26C,1,1,1
2025-06-27A,1,1,1
2025-06-27C,1,1,1
2025-06-30A,1,1,1
2025-06-30C,1,1,1
2025-07-01A,1,1,1
2025-07-01C,1,1,1
2025-07-02A,1,1,1
2025-07-02C,1,1,1
2025-07-03A,1,1,1
2025-07-03C,1,1,1
2025-07-07A,1,1,1
2025-07-07C,1,1,0
2025-07-08A,1,1,0
2025-07-08C,1,1,1
2025-07-09A,1,1,1
2025-07-09C,1,1,1
2025-07-10A,1,1,1
2025-07-10C,1,1,1
2025-07-11A,1,1,1
2025-07-11C,1,1,1
2025-07-14A,1,1,1
2025-07-14C,1,1,0
2025-07-15A,1,1,0
2025-07-15C,1,1,0
2025-07-16A,1,1,0
2025-07-16C,1,1,0
2025-07-17A,1,1,0
2025-07-17C,1,1,1
2025-07-18A,1,1,1
2025-07-18C,1,1,1
2025-07-21A,1,1,1
2025-07-21C,1,1,0
2025-07-22A,1,1,0
2025-07-22C,1,1,1
2025-07-23A,1,1,1
2025-07-23C,1,1,1
2025-07-24A,1,1,1
2025-07-24C,1,1,1
2025-07-25A,1,1,1
2025-07-25C,1,1,1
2025-07-28A,1,1,1
2025-07-28C,1,1,1
2025-07-29A,1,1,1
2025-07-29C,1,1,1
2025-07-30A,1,1,1
2025-07-30C,1,1,1
2025-07-31A,1,1,1
2025-07-31C,1,1,0
2025-08-01A,1,1,0
2025-08-01C,1,1,0
2025-08-04A,1,1,0
2025-08-04C,1,1,0
2025-08-05A,1,1,0
2025-08-05C,1,1,0
2025-08-06A,1,1,0
2025-08-06C,1,1,0
2025-08-07A,1,1,0
2025-08-07C,1,1,1
2025-08-08A,1,1,1
2025-08-08C,1,1,1
2025-08-11A,1,1,1
2025-08-11C,1,1,1
2025-08-12A,1,1,1
2025-08-12C,1,1,1
2025-08-13A,1,1,1
2025-08-13C,1,1,1
2025-08-14A,1,1,1
2025-08-14C,1,1,1
2025-08-15A,1,1,1
2025-08-15C,1,1,1
2025-08-18A,1,1,1
2025-08-18C,1,1,1
2025-08-19A,1,1,1
2025-08-19C,1,1,0
2025-08-20A,1,1,0
2025-08-20C,1,1,0
2025-08-21A,1,1,0
2025-08-21C,1,1,0
2025-08-22A,1,1,0
2025-08-22C,1,1,1
2025-08-25A,1,1,1
2025-08-25C,1,1,1
2025-08-26A,1,1,1
2025-08-26C,1,1,1
2025-08-27A,1,1,1
2025-08-27C,1,1,1
2025-08-28A,1,1,1
2025-08-28C,1,1,1
2025-08-29A,1,1,1
2025-08-29C,1,1,0
2025-09-02A,1,1,0
2025-09-02C,1,1,0
2025-09-03A,1,1,0
2025-09-03C,1,1,0
2025-09-04A,1,1,0
2025-09-04C,1,1,1
2025-09-05A,1,1,1
2025-09-05C,1,1,1
2025-09-08A,1,1,1
2025-09-08C,1,1,1
2025-09-09A,1,1,1
2025-09-09C,1,1,1
2025-09-10A,1,1,1
2025-09-10C,1,1,1
2025-09-11A,1,1,1
2025-09-11C,1,1,1
2025-09-12A,1,1,1
2025-09-12C,1,1,1
2025-09-15A,1,1,1
2025-09-15C,1,1,0
2025-09-16A,1,1,0
2025-09-16C,1,1,0
2025-09-17A,1,1,0
2025-09-17C,1,1,0
2025-09-18A,1,1,0
2025-09-18C,1,1,0
2025-09-19A,1,1,0
2025-09-19C,1,1,0
2025-09-22A,1,1,0
2025-09-22C,1,1,0
2025-09-23A,1,1,0
2025-09-23C,1,1,0
2025-09-24A,1,1,0
2025-09-24C,1,1,0
2025-09-25A,1,1,0
2025-09-25C,1,1,0
2025-09-26A,1,1,0
2025-09-26C,1,1,1
2025-09-29A,1,1,1
2025-09-29C,1,1,0
2025-09-30A,1,1,0
2025-09-30C,1,1,0
2025-10-01A,1,1,0
2025-10-01C,1,1,0
2025-10-02A,1,1,0
2025-10-02C,1,1,0
2025-10-03A,1,1,0
2025-10-03C,1,1,0
2025-10-06A,1,1,0
2025-10-06C,1,1,0
2025-10-07A,1,1,0
2025-10-07C,1,1,0
2025-10-08A,1,1,0
2025-10-08C,1,1,1
2025-10-09A,1,1,1
2025-10-09C,1,1,0
2025-10-10A,1,1,0
2025-10-10C,1,1,0
2025-10-13A,1,1,0
2025-10-13C,1,1,0
2025-10-14A,1,1,0
2025-10-14C,1,1,0
2025-10-15A,1,1,0
2025-10-15C,1,1,0
2025-10-16A,1,1,0
2025-10-16C,1,1,0
2025-10-17A,1,1,0
2025-10-17C,1,1,0
2025-10-20A,1,1,0
2025-10-20C,1,1,1
2025-10-21A,1,1,1
2025-10-21C,1,1,1
2025-10-22A,1,1,1
2025-10-22C,1,1,1
2025-10-23A,1,1,1
2025-10-23C,1,1,1
2025-10-24A,1,1,1
2025-10-24C,1,1,1
2025-10-27A,1,1,1
2025-10-27C,1,1,1
2025-10-28A,1,1,1
2025-10-28C,1,1,1
2025-10-29A,1,1,1
